10,11,11,12,15,17,12,11,8,6,5,6,7,9,13,17,18,22,18,15
12,14,14,20,23,22,18,13,9,6,6,8,10,11,13,15,19,21,20,15
12,14,16,22,26,25,21,13,10,10,8,9,14,13,14,17,20,19,19,14
10,10,16,22,25,23,17,11,9,6,8,12,15,13,14,17,20,19,17,12
9,12,17,18,19,18,15,12,10,11,12,13,15,20,22,21,20,19,18,11
10,12,15,18,18,16,15,15,14,15,15,17,20,21,23,26,23,21,15,11
11,14,15,14,10,11,12,14,17,17,14,15,18,24,27,28,24,23,18,15
14,16,14,14,13,14,16,17,18,18,16,16,18,21,25,28,25,22,15,13
11,13,12,10,7,9,13,13,13,12,11,11,16,18,22,23,22,19,15,10
9,9,9,9,8,10,13,11,11,8,8,10,10,12,16,16,16,12,11,8
4,4,5,5,6,9,11,10,6,5,4,6,11,6,6,9,10,9,8,5
3,1,4,8,8,12,11,11,9,7,5,7,12,7,6,7,9,8,6,7
3,5,5,8,10,14,12,9,6,6,9,12,13,11,9,7,10,11,8,7
7,10,11,13,13,15,13,10,8,8,9,12,16,11,9,10,8,8,8,8
9,13,15,16,14,16,11,7,7,7,9,12,14,10,8,8,9,8,8,7
16,19,21,20,18,17,12,9,6,6,7,9,11,10,9,7,7,8,6,6
13,17,22,20,17,15,10,9,7,7,7,7,10,7,7,8,6,11,7,6
12,16,17,18,18,16,11,11,9,8,6,5,6,4,6,9,10,12,8,8
7,12,13,17,17,16,13,13,10,8,7,6,6,4,5,8,12,14,11,6
4,4,8,12,11,12,9,9,10,8,6,5,4,5,9,12,15,13,13,7
