87.219,91.456,109.04,99.642,92.462,105.01,95.385,140.64,200.88,226.89,240.84,257.64,186.06,138.41,106.55,61.627,41.276,53.535,64.828,95.193,100.9,121.85,102.79,141.15,144.06,172.6,146.53,166.23,100.1,113.72
71.555,92.489,110.66,101.26,111.41,120.34,129.14,190.14,255.4,274.47,296.76,307.49,254.11,204.18,157.21,140.3,111.01,109.82,123.63,129.73,143.37,162.81,168.91,221.13,227.92,278.16,242.87,265.57,194.71,171.53
57.046,104.61,125.78,124.65,118.25,145.64,160.86,235.25,323.35,336.3,360.73,373.01,321.29,291.75,218.49,231.73,160.8,163.15,168.92,179.18,190.09,218.66,218.22,250.94,289.89,359.61,342.48,347.78,258.61,211.09
66.273,105.71,99.952,125.47,132.8,165.01,197.26,285.48,357.38,383.29,470.68,452.42,392.73,416.35,353.66,382.58,306.14,301.83,254.35,278.53,300.85,298.12,314.4,385.86,445.24,461.77,477.36,492.71,375.28,273.01
41.505,85.089,101.83,120.71,139.73,200.01,253.99,333.19,391.95,412.78,521.36,474.26,524.52,545.5,458.23,498.5,399.46,417.97,307.64,292.18,312.66,389.72,378.89,412.31,477.42,538.34,528.78,517.17,395.62,302.29
28.571,83.231,80.79,140.37,153.61,194.01,262.74,323.74,413.19,433.25,495.18,506.47,552.25,574.95,585.94,621.15,494.99,461.05,400.03,352.63,360.16,375.43,436.16,508.52,579.77,588.33,548.79,570.2,444.23,309.36
84.298,174.36,164.23,240.44,253.25,250.43,296.42,355.35,412.11,463.21,532.04,613.34,612.25,684.16,656.54,642.63,620.24,546.8,459.31,413.96,421.87,469.55,514.92,564.37,622.55,674.48,579.99,585.57,408.02,354.38
116.37,218.43,228.66,281.82,267.74,280.91,265.68,332.44,350.57,388.42,430.15,504.12,556.66,646.58,640.37,685.33,574.04,501.71,487.5,421.84,450.53,495.87,607.94,666.01,718.44,722.81,574.92,603.27,428.9,366.71
207.65,306.36,338.33,366.46,353.37,357,295.58,342.65,356.31,379.12,403.74,495.04,559.31,605.98,611.26,636.37,510.75,497.72,431.19,400.43,425.42,497.38,561.64,610.01,681.38,682.54,597.82,597.17,421.49,319.34
259.79,367.62,394.3,436.04,384.56,347.54,268.68,252.76,287.89,281.16,355.77,431.18,474.36,547.87,546.17,523.08,415.45,432.61,365.71,403.94,425.82,537.42,591.35,649.89,713.6,684,638.24,592.07,436.77,314.61
